SIGLA,DESCRIÇÃO,CARTEIRA,DATA,QUANT.,$ COMPRA,Unnamed: 6
RLOG3,Cosan Logística S.A. ,Melhores ações,15-01-2020,108,23.02,ok
SAPR11,Companhia de Saneamento do Paraná - SANEPAR ,Melhores ações,15-01-2020,75,33.27,Ok com split
JPSA3,Jereissati Participações S.A. ,Melhores ações,15-01-2020,62,40.09,ok
PETR4,Petróleo Brasileiro S.A. - Petrobras ,Melhores ações,15-01-2020,84,29.64,ok
ITUB4,Itaú Unibanco Holding S.A. ,Melhores ações,15-01-2020,35,34.69,ok
CNTO3,Grupo SBF S.A. ,Melhores ações,15-01-2020,56,42.35,ok
BPAN4,Banco Pan S.A. ,Melhores ações,15-01-2020,200,11.48,ok
MGLU3,Magazine Luiza S.A. ,Melhores ações,15-01-2020,92,13.5,Ok com split
AZUL4,Azul S.A. ,Melhores ações,15-01-2020,42,59.04,ok
CSAN3,Cosan S.A. ,Melhores ações,15-01-2020,32,76.29,ok
ALSO3,Aliansce Sonae Shopping Centers SA ,Melhores ações,15-01-2020,11,54.45,ok
PETR4,Petróleo Brasileiro S.A. - Petrobras ,Melhores ações,09-03-2020,150,15.9,ok
ITUB4,Itaú Unibanco Holding S.A. ,Melhores ações,09-03-2020,35,22.3,ok
ITUB4,Itaú Unibanco Holding S.A. ,Melhores ações,09-03-2020,35,22.6,ok
AZUL4,Azul S.A. ,Melhores ações,09-03-2020,40,12.8,ok
LREN3,Lojas Renner S.A. ,Melhores ações,02-12-2020,30,45.38,ok
BBDC4,Banco Bradesco S.A. ,Melhores ações,03-12-2020,100,26.5,ok
NTCO3,Natura &Co Holding S.A. ,Melhores ações,03-12-2020,30,48.74,ok
GMAT3,Grupo Mateus S.A. ,Melhores ações,14-12-2020,100,7.81,ok
TOTS3,TOTVS S.A. ,Melhores ações,15-12-2020,100,25.9,ok
CURY3,Cury Construtora e Incorporadora S.A. ,Microcap,04-12-2020,90,11.2,ok
AMBP3,Ambipar Participações e Empreendimentos S.A. ,Microcap,04-12-2020,39,26.6,ok
PNVL3,Dimed S.A. Distribuidora de Medicamentos ,Microcap,04-12-2020,37,22.54,ok
AURA33,Aura Minerals Inc. ,Microcap,04-12-2020,14,57.95,ok
SQIA3,Sinqia S.A. ,Microcap,04-12-2020,37,21.7,ok
RRRP3,3R Petroleum Óleo e Gás S.A. ,Microcap,04-12-2020,29,24.95,ok
JPSA3,Jereissati Participações S.A. ,Microcap,04-12-2020,26,26.06,ok
BKBR3,BK Brasil Operação e Assessoria a Restaurantes S.A. ,Microcap,04-12-2020,62,10.88,ok
BMGB4,Banco BMG S.A. ,Microcap,04-12-2020,99,5.1,ok
MOVI3,Movida Participações S.A. ,Microcap,04-12-2020,25,21.09,ok
OFSA3,Ouro Fino Saúde Animal Participações S.A. ,Microcap,04-12-2020,11,36.0,ok
AALR3,Centro de Imagem Diagnósticos S.A. ,Microcap,04-12-2020,34,11.99,ok
LPSB3,LPS Brasil - Consultoria de Imóveis S.A. ,Microcap,04-12-2020,80,5.28,ok
POMO4,Marcopolo S.A. ,Microcap,04-12-2020,100,3.0,ok
PRNR3,Priner Serviços Industriais S.A. ,Microcap,04-12-2020,32,9.27,ok
CAMB3,Cambuci S.A. ,Microcap,04-12-2020,60,5.56,ok
SLCE3,SLC Agrícola S.A. ,Microcap,04-12-2020,7,27.19,ok
LOGG3,LOG Commercial Properties e Participações S.A. ,Microcap,04-12-2020,6,33.35,ok
POMO4,Marcopolo S.A. ,Microcap,14-12-2020,39,2.89,ok
PRNR3,Priner Serviços Industriais S.A. ,Microcap,14-12-2020,33,9.07,ok
AMBP3,Ambipar Participações e Empreendimentos S.A. ,Microcap,14-12-2020,20,27.15,ok
PNVL3,Dimed S.A. Distribuidora de Medicamentos ,Microcap,14-12-2020,20,21.36,ok
AURA33,Aura Minerals Inc. ,Microcap,14-12-2020,10,54.35,ok
LAME4,Lojas Americanas S.A. ,Melhores ações,16-12-2020,40,25.02,ok
MGLU3,Magazine Luiza S.A. ,Melhores ações,05-01-2021,70,24.85,ok
LAME4,Lojas Americanas S.A. ,Melhores ações,05-01-2021,30,24.98,ok
NTCO3,Natura &Co Holding S.A. ,Melhores ações,05-01-2021,30,51.42,ok
AALR3,Centro de Imagem Diagnósticos S.A. ,Microcap,05-01-2021,20,10.91,ok
